Date,Open,High,Low,Close,Adj Close,Volume
8/8/2008,42.790001,44.169998,41.450001,44.099998,42.299274,3248400
8/11/2008,44.540001,44.57,43.16,43.720001,41.934803,2258300
8/12/2008,43.5,44.07,43.049999,43.759998,41.973156,1641400
8/13/2008,43.419998,43.650002,42.209999,43.450001,41.675819,1785400
8/14/2008,43.330002,45,43.009998,44.240002,42.433556,1166600
8/15/2008,44.240002,45,44,44.610001,42.788445,939600
8/18/2008,44.84,44.860001,44,44.299999,42.491085,1043400
8/19/2008,44,44.189999,42.84,42.959999,41.205818,1310700
8/20/2008,41.59,43.040001,41.080002,42.189999,40.467262,1577400
8/21/2008,42.009998,42.48,41.560001,42.299999,40.572765,789600
8/22/2008,41.75,42.48,41.5,42.48,40.74543,1305700
8/25/2008,42.290001,42.52,41.43,41.619999,39.920532,677100
8/26/2008,41.34,41.830002,40.919998,41.52,39.8246,956900
8/27/2008,41.720001,42.57,41.119999,42.32,40.591938,1008300
8/28/2008,42.599998,43.400002,42.200001,43.389999,41.618252,1344800
8/29/2008,43.110001,43.580002,42.93,43.040001,41.282536,766900
9/2/2008,43.580002,45.52,43.470001,44.009998,42.21294,1577500
9/3/2008,44.009998,44.599998,43.669998,44.099998,42.299274,1261800
9/4/2008,43.849998,43.849998,42.59,42.91,41.15786,980100
9/5/2008,42.23,42.490002,41.59,42.130001,40.409698,977800
9/8/2008,43,43.389999,42.290001,43.18,41.416824,1345400
9/9/2008,43.220001,43.639999,42.02,42.209999,40.486439,1781900
9/10/2008,42.439999,43.27,42.049999,42.939999,41.18663,1272500
9/11/2008,42.32,42.560001,41.630001,42.459999,40.726223,1373000
9/12/2008,42.200001,42.209999,41.110001,41.720001,40.016472,1077400
9/15/2008,39.900002,41.400002,39.029999,40.259998,38.616074,1654400
9/16/2008,39.689999,40.650002,39.169998,39.849998,38.222786,2118800
9/17/2008,38.860001,40.080002,38.07,38.240002,36.73386,1800900
9/18/2008,41.200001,41.369999,37.509998,38.279999,36.772278,3411600
9/19/2008,40.02,42.060001,38.689999,39.07,37.53117,2178900
9/22/2008,39.400002,40.279999,38.630001,38.73,37.204559,1408500
9/23/2008,39,39.73,38.549999,39.07,37.53117,1317600
9/24/2008,39.060001,40.259998,38.709999,39.540001,37.982662,1388500
9/25/2008,40.18,40.580002,39.330002,39.599998,38.040283,1290700
9/26/2008,39.200001,40.93,38.529999,40.130001,38.549416,1506900
9/29/2008,39.310001,40.049999,38.200001,38.830002,37.300625,2489000
9/30/2008,39.5,40.110001,38.5,39.66,38.097927,1589100
10/1/2008,41.240002,41.240002,39.32,39.98,38.405334,4616300
10/2/2008,39.77,40.529999,38.110001,38.889999,37.358246,2071400
10/3/2008,39.27,40,36.59,36.75,35.30254,2109900
10/6/2008,35.509998,35.939999,32.98,34.369999,33.016277,3028900
10/7/2008,31.959999,32.779999,27.73,28.6,27.473541,6364400
10/8/2008,27.77,29.77,27.43,29.4,28.242043,3477600
10/9/2008,29.700001,30.67,27.719999,27.969999,26.868345,2116300
10/10/2008,26.450001,27.9,25.459999,26.969999,25.907743,2830000
10/13/2008,28.209999,29.190001,27.299999,28.280001,27.166149,2191400
10/14/2008,29.280001,29.76,27.27,27.83,26.733866,2355600
